t,kalman_gain
0,0.3566755
1,0.2940407
2,0.3039518
3,0.242843
4,0.231533
5,0.25223
6,0.223271
7,0.1938853
8,0.09705285
9,0.0826398
10,0.0976583
11,0.09429752
12,0.1584175
13,0.214732
14,0.3040737
15,1.215564
16,1.005218
17,0.5592322
18,0.3525435
19,0.1060842
20,0.2005081
21,0.3262575
22,0.07965225
23,0.1247304
24,0.306761
25,0.09881836
26,0.1656339
27,0.0739136
28,0.06705552
29,0.06831783
30,0.05929933
31,0.1385738
32,0.07736375
33,0.08650311
34,0.2089731
35,0.06522992
36,0.1247496
37,0.07582867
38,0.05668607
39,0.0761475
40,0.08427352
41,0.05805415
42,0.07746436
43,0.07356394
44,0.1755604
45,0.06487986
46,0.1232027
47,0.06262422
48,0.05534795
49,0.06657585
50,0.07134102
51,0.08289165
52,0.06072571
53,0.0699098
54,0.1736704
55,0.06474332
56,0.1039376
57,0.05687487
58,0.05113569
59,0.07117274
60,0.07703929
61,0.07354938
62,0.06994337
63,0.06387242
64,0.1506787
65,0.06233867
66,0.09726898
67,0.05960244
68,0.05442335
69,0.0674023
70,0.07398684
71,0.07283463
72,0.08041301
73,0.07050259
74,0.1467836
75,0.060613
76,0.08941881
77,0.05964043
78,0.05262951
79,0.06622481
80,0.07653782
81,0.08727541
82,0.1078698
83,0.07181057
84,0.1709118
85,0.0554466
86,0.08899331
87,0.06198117
88,0.05429451
89,0.06773648
90,0.0704586
91,0.09411742
92,0.09686702
93,0.07032757
94,0.146568
95,0.05458365
96,0.08877493
97,0.06934492
98,0.06267937
99,0.06996684
100,0.07389395
101,0.07632573
102,0.08547661
103,0.07471543
104,0.1292254
105,0.05425607
106,0.09822071
107,0.07938139
108,0.07160915
109,0.0766171
110,0.07932752
111,0.0756147
112,0.0865654
113,0.07221514
114,0.1329241
115,0.06599969
116,0.1030924
117,0.08060205
118,0.07548569
119,0.06225132
120,0.07437534
121,0.1017197
122,0.1104754
123,0.09583765
124,0.1375835
125,0.06659003
126,0.1076989
127,0.08601952
128,0.07613897
129,0.06409665
130,0.08683665
131,0.1143642
132,0.1296253
133,0.09579135
134,0.1074254
135,0.06862419
136,0.09739889
137,0.09455702
138,0.08512656
139,0.06531897
140,0.08451756
141,0.1089796
142,0.1244378
143,0.1065003
144,0.1095111
145,0.081805
146,0.1053573
147,0.1068766
148,0.08181394
149,0.07143938
150,0.08516961
151,0.09245566
152,0.1002585
153,0.09581038
154,0.09503001
155,0.07637586
156,0.09453681
157,0.09159589
158,0.08183488
159,0.07249983
160,0.1105337
161,0.1121693
162,0.1341686
163,0.1130125
164,0.1126367
165,0.08088733
166,0.08908483
167,0.09661982
168,0.08600969
169,0.09101984
170,0.1294665
171,0.1112587
172,0.1359374
173,0.1167292
174,0.1195992
175,0.08112779
176,0.09119346
177,0.1038871
178,0.09859433
179,0.1163005
180,0.1865517
181,0.1250378
182,0.1375964
183,0.1024766
184,0.1310341
185,0.08014226
186,0.1110732
187,0.1082788
188,0.0934994
189,0.08154622
190,0.1143072
191,0.1027586
192,0.113231
193,0.0799147
194,0.1105744
195,0.06466262
196,0.1014922
197,0.1045838
198,0.09767739
199,0.07770535
200,0.1253163
201,0.09486875
202,0.1245467
203,0.08268586
204,0.130033
205,0.06460168
206,0.1205988
207,0.1189979
208,0.1088122
209,0.07506639
210,0.1039562
211,0.08376086
212,0.1160807
213,0.0820451
214,0.1298813
215,0.06587774
216,0.1135915
217,0.1204724
218,0.1067303
219,0.07199939
220,0.09613609
221,0.07702907
222,0.1043408
223,0.08454294
224,0.1219619
225,0.06453932
226,0.1179943
227,0.1045747
228,0.09413038
229,0.08030488
230,0.1089341
231,0.08244365
232,0.106752
233,0.0774767
234,0.1135181
235,0.07065342
236,0.1211619
237,0.1042598
238,0.09862171
239,0.06817249
240,0.09518521
241,0.0787605
242,0.0972697
243,0.07885855
244,0.1261395
245,0.08298543
246,0.1319123
247,0.1087
248,0.09898733
249,0.0632323
250,0.08317532
251,0.08485592
252,0.1011468
253,0.08017542
254,0.1195533
255,0.07014164
256,0.1154084
257,0.1044951
258,0.09197679
259,0.06597944
260,0.07918756
261,0.08117459
262,0.08599368
263,0.08260228
