time,mse_pose,mse_landmarks
0,0.1490987,0
0.01999999,0.1547781,0
0.03858549,0.1590206,0
0.04869566,0.157711,0.8058674
0.06042161,0.1623484,0.8058674
0.06872695,0.1623399,0.8058674
0.07505915,0.1628616,0.8058674
0.08237299,0.1657595,0.8058674
0.08870874,0.1669762,0.8058674
0.0945162,0.1683634,0.8058674
0.1006064,0.1704309,0.8058674
0.106632,0.1722311,0.8058674
0.1136765,0.1293442,0.1818479
0.1208714,0.1295695,0.1818479
0.1268542,0.1294247,0.1818479
0.1326722,0.1295361,0.1818479
0.1387783,0.129772,0.1818479
0.1454005,0.1300914,0.1818479
0.1517464,0.1301753,0.1818479
0.1576015,0.1301792,0.1818479
0.1636727,0.1304062,0.1818479
0.170024,0.1306653,0.1818479
0.1763822,0.130834,0.1818479
0.1820199,0.1484231,0.3122515
0.1894139,0.1502424,0.3122515
0.1952862,0.1499769,0.3122515
0.2015942,0.1509259,0.3122515
0.2074474,0.1512863,0.3122515
0.2136235,0.1521621,0.3122515
0.2195324,0.1526372,0.3122515
0.2254312,0.1532755,0.3122515
0.2315772,0.154111,0.3122515
0.237432,0.1545548,0.3122515
0.2431678,0.155101,0.3122515
0.2493449,0.1750934,0.4369614
0.2560402,0.1766459,0.4369614
0.261633,0.1766884,0.4369614
0.2675824,0.1779917,0.4369614
0.2730992,0.1785644,0.4369614
0.2785841,0.1794686,0.4369614
0.2842219,0.1805581,0.4369614
0.290398,0.1820822,0.4369614
0.2963526,0.1828969,0.4369614
0.3019818,0.1835607,0.4369614
0.3079717,0.1849128,0.4369614
0.3138327,0.1682354,0.3456575
0.3205189,0.1699576,0.3456575
0.3264254,0.169998,0.3456575
0.3322275,0.1706913,0.3456575
0.3380577,0.1715203,0.3456575
0.3438168,0.1722392,0.3456575
0.349503,0.172945,0.3456575
0.3550594,0.1735735,0.3456575
0.3607839,0.1745364,0.3456575
0.3664432,0.1752442,0.3456575
0.372375,0.1763525,0.3456575
0.3781246,0.1769429,0.3456575
0.3838872,0.1805859,0.3463785
0.3907145,0.1827748,0.3463785
0.3965833,0.1826067,0.3463785
0.401998,0.1829251,0.3463785
0.407414,0.1837458,0.3463785
0.4130381,0.1848303,0.3463785
0.4189408,0.1860406,0.3463785
0.4257294,0.1880974,0.3463785
0.4319069,0.1883101,0.3463785
0.4381397,0.1893176,0.3463785
0.44389,0.189608,0.3463785
0.4499243,0.2009122,0.3346656
0.4568181,0.2030932,0.3346656
0.4630668,0.2032467,0.3346656
0.4690344,0.203823,0.3346656
0.4747345,0.2043719,0.3346656
0.4803932,0.2052086,0.3346656
0.4859222,0.2059066,0.3346656
0.4915302,0.2068941,0.3346656
0.4972921,0.208008,0.3346656
0.5028823,0.2086518,0.3346656
0.508806,0.2100416,0.3346656
0.5145957,0.2022319,0.3254859
0.5219643,0.2054942,0.3254859
0.5271802,0.2034496,0.3254859
0.5323112,0.2041523,0.3254859
0.5381199,0.2059859,0.3254859
0.5432411,0.2058662,0.3254859
0.5483817,0.2067084,0.3254859
0.5531735,0.2069899,0.3254859
0.5582705,0.2082193,0.3254859
0.5635924,0.2093767,0.3254859
0.5687159,0.2099082,0.3254859
0.5738346,0.2107111,0.3254859
0.5789229,0.2114723,0.3254859
0.5842847,0.2163091,0.307461
0.5902525,0.2182669,0.307461
0.5951831,0.2176787,0.307461
0.6006398,0.2194368,0.307461
0.6063572,0.220864,0.307461
0.6118221,0.2214905,0.307461
0.6167831,0.2216505,0.307461
0.6215272,0.2221946,0.307461
0.6260954,0.2227659,0.307461
0.6305611,0.2234269,0.307461
0.6350623,0.2243018,0.307461
0.6394948,0.2250053,0.307461
0.6441792,0.226245,0.307461
0.6489705,0.2645315,0.3060314
0.6545799,0.2670097,0.3060314
0.6591679,0.2661311,0.3060314
0.6636649,0.2668372,0.3060314
0.6683022,0.2679697,0.3060314
0.6727693,0.2685282,0.3060314
0.6773742,0.2696516,0.3060314
0.6820893,0.270748,0.3060314
0.6881245,0.274268,0.3060314
0.6925963,0.2722981,0.3060314
0.6970603,0.2731347,0.3060314
0.7015439,0.2740233,0.3060314
0.7060227,0.274866,0.3060314
0.7111709,0.2770759,0.3060314
0.7157552,0.2878326,0.3223524
0.7213618,0.2909139,0.3223524
0.7259724,0.2901193,0.3223524
0.730577,0.2911228,0.3223524
0.735294,0.2923671,0.3223524
0.7397884,0.292945,0.3223524
0.7442697,0.2939053,0.3223524
0.7490034,0.2954153,0.3223524
0.7534525,0.295857,0.3223524
0.75787,0.2967656,0.3223524
0.7624168,0.2980065,0.3223524
0.7670597,0.2992056,0.3223524
0.7714798,0.2997434,0.3223524
0.7761453,0.3012361,0.3223524
0.7807714,0.2583002,0.2678983
0.7865061,0.2612677,0.2678983
0.7909847,0.2597943,0.2678983
0.7955546,0.2607486,0.2678983
0.8000917,0.2614737,0.2678983
0.8046756,0.2623501,0.2678983
0.8091615,0.2629447,0.2678983
0.8136943,0.2638115,0.2678983
0.8185667,0.2652766,0.2678983
0.8230563,0.2653366,0.2678983
0.8275857,0.2661874,0.2678983
0.8323525,0.2674496,0.2678983
0.8366588,0.2673175,0.2678983
0.8411542,0.2684437,0.2678983
0.8457637,0.2694472,0.2678983
0.8503565,0.241829,0.2496456
0.8558472,0.2442419,0.2496456
0.8603643,0.2429906,0.2496456
0.8649592,0.24374,0.2496456
0.8693855,0.2439976,0.2496456
0.8738188,0.2445891,0.2496456
0.8783631,0.2453946,0.2496456
0.8828872,0.2459428,0.2496456
0.8872699,0.2462366,0.2496456
0.8918343,0.2471819,0.2496456
0.8964936,0.2479696,0.2496456
0.9010535,0.2483609,0.2496456
0.9055594,0.2488331,0.2496456
0.9100947,0.2494731,0.2496456
0.9169572,0.2756323,0.240018
0.9224225,0.2733128,0.240018
0.9270978,0.2721917,0.240018
0.9318224,0.2728488,0.240018
0.9363891,0.2730461,0.240018
0.9408109,0.2732515,0.240018
0.9454709,0.2743028,0.240018
0.9501938,0.2749855,0.240018
0.9547325,0.2751104,0.240018
0.9592866,0.2756679,0.240018
0.9638068,0.2761127,0.240018
0.9682584,0.2764717,0.240018
0.9727048,0.2769671,0.240018
0.9774975,0.278279,0.240018
0.9819593,0.2525623,0.2458026
0.9881846,0.2570066,0.2458026
0.9925523,0.2533168,0.2458026
0.9970733,0.25407,0.2458026
1.001884,0.2551512,0.2458026
1.006319,0.2547249,0.2458026
1.010747,0.2551117,0.2458026
1.015118,0.255382,0.2458026
1.01965,0.2561527,0.2458026
1.024077,0.2563136,0.2458026
1.028703,0.2571814,0.2458026
1.033265,0.257444,0.2458026
1.03787,0.2579503,0.2458026
1.042513,0.2584528,0.2458026
1.047071,0.2248298,0.2216345
1.052796,0.2277089,0.2216345
1.057556,0.225861,0.2216345
1.061865,0.2251168,0.2216345
1.066492,0.2260779,0.2216345
1.071211,0.226545,0.2216345
1.075959,0.2268757,0.2216345
1.080523,0.226719,0.2216345
1.084968,0.2267001,0.2216345
1.089433,0.2269918,0.2216345
1.093986,0.2274367,0.2216345
1.098567,0.2277525,0.2216345
1.102947,0.2275353,0.2216345
1.107439,0.2280316,0.2216345
1.111975,0.2283756,0.2216345
1.116567,0.2163476,0.2028978
1.122025,0.2185296,0.2028978
1.126558,0.2165709,0.2028978
1.131204,0.2169982,0.2028978
1.135891,0.217261,0.2028978
1.140485,0.2172102,0.2028978
1.145161,0.2175646,0.2028978
1.149691,0.2173857,0.2028978
1.153954,0.2169163,0.2028978
1.158503,0.2177399,0.2028978
1.163097,0.2180032,0.2028978
1.167581,0.2178998,0.2028978
1.172068,0.2180589,0.2028978
